Note regarding coverage and payment indicators for codes in CMS’ 2020 HCPCS Update and DMEPOS Fee Schedule Files

If specific Medicare coverage or payment indicators or values have not been established for any new HCPCS codes, this may be because a n






  HCPC/MOD         ACTION CD       SHORT DESCRIPTION              LONG DESCRIPTION
   G9926           No Change       Sfty cncrns scrn but no recs   Safety concerns screening positive screen is without provision of miti
   G9927           No Change       Doc no warf /fda  pt trial     Documentation of system reason(s) for not prescribing warfarin or anot
   G9928           No Change       No warf or fda drug presc      Warfarin or another fda-approved anticoagulant not prescribed, reason
   G9929           No Change       Trs/rev af                     Patient with transient or reversible cause of af (e.g., pneumonia, hyp
   G9930           No Change       Com care                       Patients who are receiving comfort care only
   G9931           No Change       No chad or chad scr 0 or 1     Documentation of cha2ds2-vasc risk score of 0 or 1
   G9932           No Change       Doc pt rsn no tb scrn recrds   Documentation of patient reason(s) for not having records of negative
   G9933           No Change       Canc detectd during col scrn   Adenoma(s) or colorectal cancer detected during screening colonoscopy
   G9934           No Change       Doc rsn not detecting cancer   Documentation that neoplasm detected is only diagnosed as traditional
   G9935           No Change       Canc not detectd during srcn   Adenoma(s) or colorectal cancer not detected during screening colonosc
   G9936           No Change       Pmh plyp/neo co/rect/jun/ans   Surveillance colonoscopy - personal history of colonic polyps, colon c
   G9937           No Change       Dig or surv colsco             Diagnostic colonoscopy
   G9938    Long Description ChangePt 66+ snp or ltc pos          Patients age 66 or older in institutional special needs plans (snp) or
   G9939           No Change       Same path/derm perf biopsy     Pathologists/dermatopathologists is the same clinician who performed t
   G9940           No Change       Doc reas no statin therapy     Documentation of medical reason(s) for not on a statin (e.g., pregnanc
   G9941         Discontinued      Pre and post vas wthn 3 mos    Back pain was measured by the visual analog scale (vas) within three m
   G9942    Long Description ChangeAdtl spine proc on same date   Patient had any additional spine procedures performed on the same date
   G9943           No Change       Bk pn nt msr vas scl pre/pst   Back pain was not measured by the visual analog scale (vas) within thr
   G9944         Discontinued      Vas 3 mon pre and 1 yr post    Back pain was measured by the visual analog scale (vas) within three m
   G9945           No Change       Pt w/cancer  scoliosis         Patient had cancer, fracture or infection related to the lumbar spine
   G9946    Short Description ChangBk pain no vas                 Back pain was not measured by the visual analog scale (vas) within thr
   G9947         Discontinued      Pre and post vas wthn 3 mos    Leg pain was measured by the visual analog scale (vas) within three mo
   G9948    Long Description ChangeAdtl spine proc on same date   Patient had any additional spine procedures performed on the same date
   G9949    Long Description ChangeLeg pain no vas                Leg pain was not measured by the visual analog scale (vas) at three mo
   G9954           No Change       Pt >2 rsk fac post-op vomit    Patient exhibits 2 or more risk factors for post-operative vomiting
   G9955           No Change       Inhlnt anesth only for induc   Cases in which an inhalational anesthetic is used only for induction
   G9956           No Change       Combo thrpy of >= 2 prophly    Patient received combination therapy consisting of at least two prophy
   G9957           No Change       Doc med rsn no combo thrpy     Documentation of medical reason for not receiving combination therapy
   G9958           No Change       No combo prohpyl thrp for pt   Patient did not receive combination therapy consisting of at least two
   G9959           No Change       Systemic antimicro not presc   Systemic antimicrobials not prescribed
   G9960           No Change       Med rsn sys antimi nt rx       Documentation of medical reason(s) for prescribing systemic antimicrob
   G9961           No Change       Systemic antimicro presc       Systemic antimicrobials prescribed
   G9962           No Change       Embolization doc separatly     Embolization endpoints are documented separately for each embolized ve
   G9963           No Change       Embolization not doc separat   Embolization endpoints are not documented separately for each embolize
   G9964           No Change       Pt recv >=1 well-chld visit    Patient received at least one well-child visit with a pcp during the p
   G9965           No Change       No well-chld vist recv by pt   Patient did not receive at least one well-child visit with a pcp durin
   G9966           No Change       Scrn, inter, report child      Children who were screened for risk of developmental, behavioral and s
   G9967           No Change       No scrn, inter, reprt child    Children who were not screened for risk of developmental, behavioral a
   G9968           No Change       Pt refrd 2 pvdr/spclst in pp   Patient was referred to another provider or specialist during the perf
   G9969           No Change       Pvdr rfrd pt rprt rcvd         Provider who referred the patient to another provider received a repor
   G9970           No Change       Pvdr rfrd pt no rprt rcvd      Provider who referred the patient to another provider did not receive
   G9974           No Change       Mac exam perf                  Dilated macular exam performed, including documentation of the presenc
   G9975           No Change       Doc med rsn no dil mac exam    Documentation of medical reason(s) for not performing a dilated macula
   G9978           No Change       Remote e/m new pt 10mins       Remote in-home visit for the evaluation and management of a new patien
   G9979           No Change       Remote e/m new pt 20mins       Remote in-home visit for the evaluation and management of a new patien
   G9980           No Change       Remote e/m new pt 30 mins      Remote in-home visit for the evaluation and management of a new patien
   G9981           No Change       Remote e/m new pt 45mins       Remote in-home visit for the evaluation and management of a new patien
   G9982           No Change       Remote e/m new pt 60mins       Remote in-home visit for the evaluation and management of a new patien
   G9983           No Change       Remote e/m est. pt 10mins      Remote in-home visit for the evaluation and management of an establish
   G9984           No Change       Remote e/m est. pt  15mins     Remote in-home visit for the evaluation and management of an establish
   G9985           No Change       Remote e/m est. pt 25mins      Remote in-home visit for the evaluation and management of an establish
   G9986           No Change       Remote e/m est. pt 40mins      Remote in-home visit for the evaluation and management of an establish
   G9987           No Change       Bpci advanced in home visit    Bundled payments for care improvement advanced (bpci advanced) model h
   H0001           No Change       Alcohol and/or drug assess     Alcohol and/or drug assessment
   H0002           No Change       Alcohol and/or drug screenin   Behavioral health screening to determine eligibility for admission to
   H0003           No Change       Alcohol and/or drug screenin   Alcohol and/or drug screening; laboratory analysis of specimens for pr
   H0004           No Change       Alcohol and/or drug services   Behavioral health counseling and therapy, per 15 minutes
   H0005           No Change       Alcohol and/or drug services   Alcohol and/or drug services; group counseling by a clinician
   H0006           No Change       Alcohol and/or drug services   Alcohol and/or drug services; case management
   H0007           No Change       Alcohol and/or drug services   Alcohol and/or drug services; crisis intervention (outpatient)
   H0008           No Change       Alcohol and/or drug services   Alcohol and/or drug services; sub-acute detoxification (hospital inpat
   H0009           No Change       Alcohol and/or drug services   Alcohol and/or drug services; acute detoxification (hospital inpatient
   H0010           No Change       Alcohol and/or drug services   Alcohol and/or drug services; sub-acute detoxification (residential ad
   H0011           No Change       Alcohol and/or drug services   Alcohol and/or drug services; acute detoxification (residential addict
   H0012           No Change       Alcohol and/or drug services   Alcohol and/or drug services; sub-acute detoxification (residential ad
   H0013           No Change       Alcohol and/or drug services   Alcohol and/or drug services; acute detoxification (residential addict
   H0014           No Change       Alcohol and/or drug services   Alcohol and/or drug services; ambulatory detoxification
   H0015           No Change       Alcohol and/or drug services   Alcohol and/or drug services; intensive outpatient (treatment program
   H0016           No Change       Alcohol and/or drug services   Alcohol and/or drug services; medical/somatic (medical intervention in
   H0017           No Change       Alcohol and/or drug services   Behavioral health; residential (hospital residential treatment program
   H0018           No Change       Alcohol and/or drug services   Behavioral health; short-term residential (non-hospital residential tr
   H0019           No Change       Alcohol and/or drug services   Behavioral health; long-term residential (non-medical, non-acute care
   H0020           No Change       Alcohol and/or drug services   Alcohol and/or drug services; methadone administration and/or service
   H0021           No Change       Alcohol and/or drug training   Alcohol and/or drug training service (for staff and personnel not empl
   H0022           No Change       Alcohol and/or drug interven   Alcohol and/or drug intervention service (planned facilitation)
   H0023           No Change       Alcohol and/or drug outreach   Behavioral health outreach service (planned approach to reach a target
   H0024           No Change       Alcohol and/or drug preventi   Behavioral health prevention information dissemination service (one-wa
   H0025           No Change       Alcohol and/or drug preventi   Behavioral health prevention education service (delivery of services w
   H0026           No Change       Alcohol and/or drug preventi   Alcohol and/or drug prevention process service, community-based (deliv
   H0027           No Change       Alcohol and/or drug preventi   Alcohol and/or drug prevention environmental service (broad range of e
   H0028           No Change       Alcohol and/or drug preventi   Alcohol and/or drug prevention problem identification and referral ser
   H0029           No Change       Alcohol and/or drug preventi   Alcohol and/or drug prevention alternatives service (services for popu
   H0030           No Change       Alcohol and/or drug hotline    Behavioral health hotline service
   H0031           No Change       Mh health assess by non-md     Mental health assessment, by non-physician
   H0032           No Change       Mh svc plan dev by non-md      Mental health service plan development by non-physician
   H0033           No Change       Oral med adm direct observe    Oral medication administration, direct observation
   H0034           No Change       Med trng & support per 15min   Medication training and support, per 15 minutes
   H0035           No Change       Mh partial hosp tx under 24h   Mental health partial hospitalization, treatment, less than 24 hours
   H0036           No Change       Comm psy face-face per 15min   Community psychiatric supportive treatment, face-to-face, per 15 minut
   H0037           No Change       Comm psy sup tx pgm per diem   Community psychiatric supportive treatment program, per diem
   H0038           No Change       Self-help/peer svc per 15min   Self-help/peer services, per 15 minutes
   H0039           No Change       Asser com tx face-face/15min   Assertive community treatment, face-to-face, per 15 minutes
   H0040           No Change       Assert comm tx pgm per diem    Assertive community treatment program, per diem
   H0041           No Change       Fos c chld non-ther per diem   Foster care, child, non-therapeutic, per diem
   H0042           No Change       Fos c chld non-ther per mon    Foster care, child, non-therapeutic, per month
   H0043           No Change       Supported housing, per diem    Supported housing, per diem
   H0044           No Change       Supported housing, per month   Supported housing, per month
   H0045           No Change       Respite not-in-home per diem   Respite care services, not in the home, per diem
   H0046           No Change       Mental health service, nos     Mental health services, not otherwise specified
   H0047           No Change       Alcohol/drug abuse svc nos     Alcohol and/or other drug abuse services, not otherwise specified
   H0048           No Change       Spec coll non-blood:a/d test   Alcohol and/or other drug testing: collection and handling only, speci
   H0049           No Change       Alcohol/drug screening         Alcohol and/or drug screening
   H0050           No Change       Alcohol/drug service 15 min    Alcohol and/or drug services, brief intervention, per 15 minutes
   H1000           No Change       Prenatal care atrisk assessm   Prenatal care, at-risk assessment
   H1001           No Change       Antepartum management          Prenatal care, at-risk enhanced service; antepartum management
   H1002           No Change       Carecoordination prenatal      Prenatal care, at risk enhanced service; care coordination
   H1003           No Change       Prenatal at risk education     Prenatal care, at-risk enhanced service; education
   H1004           No Change       Follow up home visit/prental   Prenatal care, at-risk enhanced service; follow-up home visit
   H1005           No Change       Prenatalcare enhanced srv pk   Prenatal care, at-risk enhanced service package (includes h1001-h1004)
   H1010           No Change       Nonmed family planning ed      Non-medical family planning education, per session
   H1011           No Change       Family assessment              Family assessment by licensed behavioral health professional for state
   H2000           No Change       Comp multidisipln evaluation   Comprehensive multidisciplinary evaluation
   H2001           No Change       Rehabilitation program 1/2 d   Rehabilitation program, per 1/2 day
   H2010           No Change       Comprehensive med svc 15 min   Comprehensive medication services, per 15 minutes
   H2011           No Change       Crisis interven svc, 15 min    Crisis intervention service, per 15 minutes
   H2012           No Change       Behav hlth day treat, per hr   Behavioral health day treatment, per hour
   H2013           No Change       Psych hlth fac svc, per diem   Psychiatric health facility service, per diem
   H2014           No Change       Skills train and dev, 15 min   Skills training and development, per 15 minutes
   H2015           No Change       Comp comm supp svc, 15 min     Comprehensive community support services, per 15 minutes
   H2016           No Change       Comp comm supp svc, per diem   Comprehensive community support services, per diem
   H2017           No Change       Psysoc rehab svc, per 15 min   Psychosocial rehabilitation services, per 15 minutes
   H2018           No Change       Psysoc rehab svc, per diem     Psychosocial rehabilitation services, per diem
   H2019           No Change       Ther behav svc, per 15 min     Therapeutic behavioral services, per 15 minutes
   H2020           No Change       Ther behav svc, per diem       Therapeutic behavioral services, per diem
   H2021           No Change       Com wrap-around sv, 15 min     Community-based wrap-around services, per 15 minutes
   H2022           No Change       Com wrap-around sv, per diem   Community-based wrap-around services, per diem
   H2023           No Change       Supported employ, per 15 min   Supported employment, per 15 minutes
   H2024           No Change       Supported employ, per diem     Supported employment, per diem
   H2025           No Change       Supp maint employ, 15 min      Ongoing support to maintain employment, per 15 minutes
   H2026           No Change       Supp maint employ, per diem    Ongoing support to maintain employment, per diem
   H2027           No Change       Psychoed svc, per 15 min       Psychoeducational service, per 15 minutes
   H2028           No Change       Sex offend tx svc, 15 min      Sexual offender treatment service, per 15 minutes
   H2029           No Change       Sex offend tx svc, per diem    Sexual offender treatment service, per diem
   H2030           No Change       Mh clubhouse svc, per 15 min   Mental health clubhouse services, per 15 minutes
   H2031           No Change       Mh clubhouse svc, per diem     Mental health clubhouse services, per diem
   H2032           No Change       Activity therapy, per 15 min   Activity therapy, per 15 minutes
   H2033           No Change       Multisys ther/juvenile 15min   Multisystemic therapy for juveniles, per 15 minutes
   H2034           No Change       A/d halfway house, per diem    Alcohol and/or drug abuse halfway house services, per diem
   H2035           No Change       A/d tx program, per hour       Alcohol and/or other drug treatment program, per hour
   H2036           No Change       A/d tx program, per diem       Alcohol and/or other drug treatment program, per diem
   H2037           No Change       Dev delay prev dp ch, 15 min   Developmental delay prevention activities, dependent child of client,
   J0120           No Change       Tetracyclin injection          Injection, tetracycline, up to 250 mg
   J0121              ADD          Inj., omadacycline, 1 mg       Injection, omadacycline, 1 mg
   J0122              ADD          Inj., eravacycline, 1 mg       Injection, eravacycline, 1 mg
   J0129           No Change       Abatacept injection            Injection, abatacept, 10 mg (code may be used for medicare when drug a
   J0130           No Change       Abciximab injection            Injection abciximab, 10 mg
   J0131           No Change       Acetaminophen injection        Injection, acetaminophen, 10 mg
   J0132           No Change       Acetylcysteine injection       Injection, acetylcysteine, 100 mg
   J0133           No Change       Acyclovir injection            Injection, acyclovir, 5 mg
   J0135           No Change       Adalimumab injection           Injection, adalimumab, 20 mg
   J0150           No Change       Injection adenosine 6 mg       Injection, adenosine for therapeutic use,  6 mg (not to be used to rep
   J0151           No Change       Inj adenosine diag 1mg         Injection, adenosine for diagnostic use, 1 mg (not to be used to repor
   J0153           No Change       Adenosine inj 1mg              Injection, adenosine, 1 mg (not to be used to report any adenosine pho
   J0171           No Change       Adrenalin epinephrine inject   Injection, adrenalin, epinephrine, 0.1 mg
   J0178           No Change       Aflibercept injection          Injection, aflibercept, 1 mg
   J0179              ADD          Inj, brolucizumab-dbll, 1 mg   Injection, brolucizumab-dbll, 1 mg
   J0180           No Change       Agalsidase beta injection      Injection, agalsidase beta, 1 mg
   J0185           No Change       Inj., aprepitant, 1 mg         Injection, aprepitant, 1 mg
   J0190           No Change       Inj biperiden lactate/5 mg     Injection, biperiden lactate, per 5 mg
   J0200           No Change       Alatrofloxacin mesylate        Injection, alatrofloxacin mesylate, 100 mg
   J0202           No Change       Injection, alemtuzumab         Injection, alemtuzumab, 1 mg
   J0205           No Change       Alglucerase injection          Injection, alglucerase, per 10 units
   J0207           No Change       Amifostine                     Injection, amifostine, 500 mg
   J0210           No Change       Methyldopate hcl injection     Injection, methyldopate hcl, up to 250 mg
   J0215           No Change       Alefacept                      Injection, alefacept, 0.5 mg
   J0220           No Change       Alglucosidase alfa injection   Injection, alglucosidase alfa, 10 mg, not otherwise specified
   J0221           No Change       Lumizyme injection             Injection, alglucosidase alfa, (lumizyme), 10 mg
   J0222              ADD          Inj., patisiran, 0.1 mg        Injection, patisiran, 0.1 mg
   J0256           No Change       Alpha 1 proteinase inhibitor   Injection, alpha 1 proteinase inhibitor (human), not otherwise specifi
   J0257           No Change       Glassia injection              Injection, alpha 1 proteinase inhibitor (human), (glassia), 10 mg
   J0270           No Change       Alprostadil for injection      Injection, alprostadil, 1.25 mcg (code may be used for medicare when d
   J0275           No Change       Alprostadil urethral suppos    Alprostadil urethral suppository (code may be used for medicare when d
   J0278           No Change       Amikacin sulfate injection     Injection, amikacin sulfate, 100 mg
   J0280           No Change       Aminophyllin 250 mg inj        Injection, aminophyllin, up to 250 mg
   J0282           No Change       Amiodarone hcl                 Injection, amiodarone hydrochloride, 30 mg
   J0285           No Change       Amphotericin b                 Injection, amphotericin b, 50 mg
   J0287           No Change       Amphotericin b lipid complex   Injection, amphotericin b lipid complex, 10 mg
   J0288           No Change       Ampho b cholesteryl sulfate    Injection, amphotericin b cholesteryl sulfate complex, 10 mg
   J0289           No Change       Amphotericin b liposome inj    Injection, amphotericin b liposome, 10 mg
   J0290           No Change       Ampicillin 500 mg inj          Injection, ampicillin sodium, 500 mg
   J0291              ADD          Inj., plazomicin, 5 mg         Injection, plazomicin, 5 mg
   J0295           No Change       Ampicillin sulbactam 1.5 gm    Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm
   J0300           No Change       Amobarbital 125 mg inj         Injection, amobarbital, up to 125 mg
   J0330           No Change       Succinycholine chloride inj    Injection, succinylcholine chloride, up to 20 mg
   J0348           No Change       Anidulafungin injection        Injection, anidulafungin, 1 mg
   J0350           No Change       Injection anistreplase 30 u    Injection, anistreplase, per 30 units
   J0360           No Change       Hydralazine hcl injection      Injection, hydralazine hcl, up to 20 mg
   J0364           No Change       Apomorphine hydrochloride      Injection, apomorphine hydrochloride, 1 mg
   J0365           No Change       Aprotonin, 10,000 kiu          Injection, aprotonin, 10,000 kiu
   J0380           No Change       Inj metaraminol bitartrate     Injection, metaraminol bitartrate, per 10 mg
   J0390           No Change       Chloroquine injection          Injection, chloroquine hydrochloride, up to 250 mg
   J0395           No Change       Arbutamine hcl injection       Injection, arbutamine hcl, 1 mg
   J0400           No Change       Aripiprazole injection         Injection, aripiprazole, intramuscular, 0.25 mg
   J0401           No Change       Inj aripiprazole ext rel 1mg   Injection, aripiprazole, extended release, 1 mg
   J0456           No Change       Azithromycin                   Injection, azithromycin, 500 mg
   J0461           No Change       Atropine sulfate injection     Injection, atropine sulfate, 0.01 mg
   J0470           No Change       Dimecaprol injection           Injection, dimercaprol, per 100 mg
   J0475           No Change       Baclofen 10 mg injection       Injection, baclofen, 10 mg
   J0476           No Change       Baclofen intrathecal trial     Injection, baclofen, 50 mcg for intrathecal trial
   J0480           No Change       Basiliximab                    Injection, basiliximab, 20 mg
   J0485           No Change       Belatacept injection           Injection, belatacept, 1 mg
   J0490           No Change       Belimumab injection            Injection, belimumab, 10 mg
   J0500           No Change       Dicyclomine injection          Injection, dicyclomine hcl, up to 20 mg
   J0515           No Change       Inj benztropine mesylate       Injection, benztropine mesylate, per 1 mg
   J0517           No Change       Inj., benralizumab, 1 mg       Injection, benralizumab, 1 mg
   J0520           No Change       Bethanechol chloride inject    Injection, bethanechol chloride, myotonachol or urecholine, up to 5 mg
   J0558           No Change       Peng benzathine/procaine inj   Injection, penicillin g benzathine and penicillin g procaine, 100,000
   J0561           No Change       Penicillin g benzathine inj    Injection, penicillin g benzathine, 100,000 units
   J0565           No Change       Inj, bezlotoxumab, 10 mg       Injection, bezlotoxumab, 10 mg
   J0567           No Change       Inj., cerliponase alfa 1 mg    Injection, cerliponase alfa, 1 mg
   J0570           No Change       Buprenorphine implant 74.2mg   Buprenorphine implant, 74.2 mg
   J0571           No Change       Buprenorphine oral 1mg         Buprenorphine, oral, 1 mg
   J0572           No Change       Bupren/nal up to 3mg bupreno   Buprenorphine/naloxone, oral, less than or equal to 3 mg buprenorphine
   J0573           No Change       Bupren/nal 3.1 to 6mg bupren   Buprenorphine/naloxone, oral, greater than 3 mg, but less than or equa
   J0574           No Change       Bupren/nal 6.1 to 10mg bupre   Buprenorphine/naloxone, oral, greater than 6 mg, but less than or equa
   J0575           No Change       Bupren/nal over 10mg bupreno   Buprenorphine/naloxone, oral, greater than 10 mg buprenorphine
   J0583           No Change       Bivalirudin                    Injection, bivalirudin, 1 mg
   J0584           No Change       Injection, burosumab-twza 1m   Injection, burosumab-twza 1 mg
   J0585           No Change       Injection,onabotulinumtoxina   Injection, onabotulinumtoxina, 1 unit
   J0586           No Change       Abobotulinumtoxina             Injection, abobotulinumtoxina, 5 units
   J0587           No Change       Inj, rimabotulinumtoxinb       Injection, rimabotulinumtoxinb, 100 units
   J0588           No Change       Incobotulinumtoxin a           Injection, incobotulinumtoxin a, 1 unit
   J0592           No Change       Buprenorphine hydrochloride    Injection, buprenorphine hydrochloride, 0.1 mg
   J0593              ADD          Inj., lanadelumab-flyo, 1 mg   Injection, lanadelumab-flyo, 1 mg (code may be used for medicare when
   J0594           No Change       Busulfan injection             injection, busulfan, 1 mg
   J0595           No Change       Butorphanol tartrate 1 mg      Injection, butorphanol tartrate, 1 mg
   J0596           No Change       Injection, ruconest            Injection, c1 esterase inhibitor (recombinant), ruconest, 10 units
   J0597           No Change       C-1 esterase, berinert         Injection, c-1 esterase inhibitor (human), berinert, 10 units
   J0598           No Change       C-1 esterase, cinryze          Injection, c-1 esterase inhibitor (human), cinryze, 10 units
   J0599           No Change       Inj., haegarda 10 units        Injection, c-1 esterase inhibitor (human), (haegarda), 10 units
   J0600           No Change       Edetate calcium disodium inj   Injection, edetate calcium disodium, up to 1000 mg
   J0604           No Change       Cinacalcet, esrd on dialysis   Cinacalcet, oral, 1 mg, (for esrd on dialysis)
   J0606           No Change       Inj, etelcalcetide, 0.1 mg     Injection, etelcalcetide, 0.1 mg
   J0610           No Change       Calcium gluconate injection    Injection, calcium gluconate, per 10 ml
   J0620           No Change       Calcium glycer & lact/10 ml    Injection, calcium glycerophosphate and calcium lactate, per 10 ml
   J0630           No Change       Calcitonin salmon injection    Injection, calcitonin salmon, up to 400 units
   J0636           No Change       Inj calcitriol per 0.1 mcg     Injection, calcitriol, 0.1 mcg
   J0637           No Change       Caspofungin acetate            Injection, caspofungin acetate, 5 mg
   J0638           No Change       Canakinumab injection          Injection, canakinumab, 1 mg
   J0640           No Change       Leucovorin calcium injection   Injection, leucovorin calcium, per 50 mg
   J0641    Long Description ChangeInj levoleucovorin nos 0.5mg   Injection, levoleucovorin, not otherwise specified, 0.5 mg
   J0642              ADD          Injection, khapzory, 0.5 mg    Injection, levoleucovorin (khapzory), 0.5 mg
   J0670           No Change       Inj mepivacaine hcl/10 ml      Injection, mepivacaine hydrochloride, per 10 ml
   J0690           No Change       Cefazolin sodium injection     Injection, cefazolin sodium, 500 mg
   J0692           No Change       Cefepime hcl for injection     Injection, cefepime hydrochloride, 500 mg
   J0694           No Change       Cefoxitin sodium injection     Injection, cefoxitin sodium, 1 gm
   J0695           No Change       Inj ceftolozane tazobactam     Injection, ceftolozane 50 mg and tazobactam 25 mg
   J0696           No Change       Ceftriaxone sodium injection   Injection, ceftriaxone sodium, per 250 mg
   J0697           No Change       Sterile cefuroxime injection   Injection, sterile cefuroxime sodium, per 750 mg
   J0698           No Change       Cefotaxime sodium injection    Injection, cefotaxime sodium, per gm
   J0702           No Change       Betamethasone acet&sod phosp   Injection, betamethasone acetate 3 mg and betamethasone sodium phospha
   J0706           No Change       Caffeine citrate injection     Injection, caffeine citrate, 5 mg
   J0710           No Change       Cephapirin sodium injection    Injection, cephapirin sodium, up to 1 gm
   J0712           No Change       Ceftaroline fosamil inj        Injection, ceftaroline fosamil, 10 mg
   J0713           No Change       Inj ceftazidime per 500 mg     Injection, ceftazidime, per 500 mg
   J0714           No Change       Ceftazidime and avibactam      Injection, ceftazidime and avibactam, 0.5 g/0.125 g
   J0715           No Change       Ceftizoxime sodium / 500 mg    Injection, ceftizoxime sodium, per 500 mg
   J0716           No Change       Centruroides immune f(ab)      Injection, centruroides immune f(ab)2, up to 120 milligrams
   J0717           No Change       Certolizumab pegol inj 1mg     Injection, certolizumab pegol, 1 mg (code may be used for medicare whe
   J0720           No Change       Chloramphenicol sodium injec   Injection, chloramphenicol sodium succinate, up to 1 gm
   J0725           No Change       Chorionic gonadotropin/1000u   Injection, chorionic gonadotropin, per 1,000 usp units
   J0735           No Change       Clonidine hydrochloride        Injection, clonidine hydrochloride, 1 mg
   J0740           No Change       Cidofovir injection            Injection, cidofovir, 375 mg
   J0743           No Change       Cilastatin sodium injection    Injection, cilastatin sodium; imipenem, per 250 mg
   J0744           No Change       Ciprofloxacin iv               Injection, ciprofloxacin for intravenous infusion, 200 mg
   J0745           No Change       Inj codeine phosphate /30 mg   Injection, codeine phosphate, per 30 mg
   J0760           No Change       Colchicine injection           Injection, colchicine, per 1 mg
   J0770           No Change       Colistimethate sodium inj      Injection, colistimethate sodium, up to 150 mg
   J0775           No Change       Collagenase, clost hist inj    Injection, collagenase, clostridium histolyticum, 0.01 mg
   J0780           No Change       Prochlorperazine injection     Injection, prochlorperazine, up to 10 mg
   J0795           No Change       Corticorelin ovine triflutal   Injection, corticorelin ovine triflutate, 1 microgram
   J0800        Payment Change     Corticotropin injection        Injection, corticotropin, up to 40 units
   J0833           No Change       Cosyntropin injection nos      Injection, cosyntropin, not otherwise specified, 0.25 mg
   J0834           No Change       Inj., cosyntropin, 0.25 mg     Injection, cosyntropin, 0.25 mg
   J0840           No Change       Crotalidae poly immune fab     Injection, crotalidae polyvalent immune fab (ovine), up to 1 gram
   J0841           No Change       Inj crotalidae im f(ab')2 eq   Injection, crotalidae immune f(ab')2 (equine), 120 mg
   J0850           No Change       Cytomegalovirus imm iv /vial   Injection, cytomegalovirus immune globulin intravenous (human), per vi
   J0875           No Change       Injection, dalbavancin         Injection, dalbavancin, 5 mg
   J0878           No Change       Daptomycin injection           Injection, daptomycin, 1 mg
   J0881           No Change       Darbepoetin alfa, non-esrd     Injection, darbepoetin alfa, 1 microgram (non-esrd use)
   J0882           No Change       Darbepoetin alfa, esrd use     Injection, darbepoetin alfa, 1 microgram (for esrd on dialysis)
   J0883           No Change       Argatroban nonesrd use 1mg     Injection, argatroban, 1 mg (for non-esrd use)
   J0884           No Change       Argatroban esrd dialysis 1mg   Injection, argatroban, 1 mg (for esrd on dialysis)
   J0885           No Change       Epoetin alfa, non-esrd         Injection, epoetin alfa, (for non-esrd use), 1000 units
   J0886           No Change       Epoetin alfa 1000 units esrd   Injection, epoetin alfa, 1000 units (for esrd on dialysis)
   J0887           No Change       Epoetin beta esrd use          Injection, epoetin beta, 1 microgram, (for esrd on dialysis)
   J0888           No Change       Epoetin beta non esrd          Injection, epoetin beta, 1 microgram, (for non esrd use)
   J0890           No Change       Peginesatide injection         Injection, peginesatide, 0.1 mg (for esrd on dialysis)
   J0894           No Change       Decitabine injection           Injection, decitabine, 1 mg
   J0895           No Change       Deferoxamine mesylate inj      Injection, deferoxamine mesylate, 500 mg
   J0897           No Change       Denosumab injection            Injection, denosumab, 1 mg
   J0900           No Change       Testosterone enanthate inj     Injection, testosterone enanthate and estradiol valerate, up to 1 cc
   J0945           No Change       Brompheniramine maleate inj    Injection, brompheniramine maleate, per 10 mg
   J1000           No Change       Depo-estradiol cypionate inj   Injection, depo-estradiol cypionate, up to 5 mg
   J1020           No Change       Methylprednisolone 20 mg inj   Injection, methylprednisolone acetate, 20 mg
   J1030           No Change       Methylprednisolone 40 mg inj   Injection, methylprednisolone acetate, 40 mg
   J1040           No Change       Methylprednisolone 80 mg inj   Injection, methylprednisolone acetate, 80 mg
   J1050           No Change       Medroxyprogesterone acetate    Injection, medroxyprogesterone acetate, 1 mg
   J1060           No Change       Testosterone cypionate 1 ml    Injection, testosterone cypionate and estradiol cypionate, up to 1 ml
   J1070           No Change       Testosterone cypionat 100 mg   Injection, testosterone cypionate, up to 100 mg
   J1071           No Change       Inj testosterone cypionate     Injection, testosterone cypionate, 1 mg
   J1080           No Change       Testosterone cypionat 200 mg   Injection, testosterone cypionate, 1 cc, 200 mg
   J1094           No Change       Inj dexamethasone acetate      Injection, dexamethasone acetate, 1 mg
   J1095           No Change       Injection, dexamethasone 9%    Injection, dexamethasone 9 percent, intraocular, 1 microgram
   J1096              ADD          Dexametha opth insert 0.1 mg   Dexamethasone, lacrimal ophthalmic insert, 0.1 mg
   J1097              ADD          Phenylep ketorolac opth soln   Phenylephrine 10.16 mg/ml and ketorolac 2.88 mg/ml ophthalmic irrigati
   J1100           No Change       Dexamethasone sodium phos      Injection, dexamethasone sodium phosphate, 1 mg
   J1110           No Change       Inj dihydroergotamine mesylt   Injection, dihydroergotamine mesylate, per 1 mg
   J1120           No Change       Acetazolamid sodium injectio   Injection, acetazolamide sodium, up to 500 mg
   J1130           No Change       Inj diclofenac sodium 0.5mg    Injection, diclofenac sodium, 0.5 mg
   J1160           No Change       Digoxin injection              Injection, digoxin, up to 0.5 mg
   J1162           No Change       Digoxin immune fab (ovine)     Injection, digoxin immune fab (ovine), per vial
   J1165           No Change       Phenytoin sodium injection     Injection, phenytoin sodium, per 50 mg
   J1170           No Change       Hydromorphone injection        Injection, hydromorphone, up to 4 mg
   J1180           No Change       Dyphylline injection           Injection, dyphylline, up to 500 mg
